"Name","First_Name","Party","Twitter_Id"
"Rhie","Ye-One","SPD","722757627877335040"
"Rief","Josef","CDU/CSU","0"
"Riexinger","Bernd","Die Linke","849012308"
"Rimkus","Andreas","SPD","30838821"
"Rinck","Frank","AfD","0"
"Rix","Sönke","SPD","36327895"
"Rößner","Tabea","Bündnis 90/Die Grünen","53351462"
"Röttgen","Norbert","CDU/CSU","0"
"Röwekamp","Thomas","CDU/CSU","0"
"Rohde","Dennis","SPD","0"
"Rohwer","Lars","CDU/CSU","0"
"Roloff","Sebastian","SPD","0"
"Rosemann","Martin","SPD","28784085"
"Rosenthal","Jessica","SPD","1250663306286817282"
"Roth ","Claudia","Bündnis 90/Die Grünen","0"
"Roth ","Michael","SPD","1114675538"
"Rottmann","Manuela","Bündnis 90/Die Grünen","984735466783232000"
"Rouenhoff","Stefan","CDU/CSU","0"
"Rudolph","Thorsten","SPD","0"
"Rudolph","Tina","SPD","0"
"Rüddel","Erwin","CDU/CSU","33071479"
"Rüffer","Corinna","Bündnis 90/Die Grünen","0"
"Rützel","Bernd","SPD","1113004743733993472"
"Rupprecht","Albert","CDU/CSU","0"
"Ryglewski","Sarah","SPD","0"
"Saathoff","Johann","SPD","159217491"
"Sacher","Michael","Bündnis 90/Die Grünen","3294006790"
"Saleh","Kassem Taher","Bündnis 90/Die Grünen","0"
"Santos Firnhaber","Catarina dos","CDU/CSU","0"
"Sattelberger","h. c. Thomas","FDP","0"
"Sauter","Christian","FDP","0"
"Schäfer ","Axel","SPD","0"
"Schäfer","Ingo","SPD","0"
"Schäfer","Jamila","Bündnis 90/Die Grünen","0"
"Schäfer","Sebastian","Bündnis 90/Die Grünen","3367452609"
"Schäffler","Frank","FDP","18189342"
"Schätzl","Johannes","SPD","0"
"Schäuble","Wolfgang","CDU/CSU","0"
"Schamber","Rebecca","SPD","0"
"Schattner","Bernd","AfD","0"
"Schauws","Ulle","Bündnis 90/Die Grünen","0"
"Scheer","Nina","SPD","845213960060243968"
"Schenderlein","Christiane","CDU/CSU","0"
"Scheuer","Andreas","CDU/CSU","50315139"
"Schieder","Marianne","SPD","1306503986791448576"
"Schiefner","Udo","SPD","0"
"Schielke-Ziesing","Ulrike","AfD","866924100"
"Schierenbeck","Peggy","SPD","0"
"Schimke","Jana","CDU/CSU","0"
"Schisanowski","Timo","SPD","0"
"Schmid","Christoph","SPD","0"
"Schmid","Nils","SPD","0"
